ticket_id,customer_id,product_id,assigned_agent_id,created_timestamp,resolved_timestamp,issue_category,priority,ticket_status,ticket_text
T00000142,C001909,P0073,A0017,2026-06-08 19:21:53,2026-06-09 10:21:53,Refund,Medium,Resolved,Exist every well cover part mean few in drug stuff million picture deal run movie mouth young fall.
T00000143,C001952,P0094,A0029,2026-02-25 09:00:17,,Hardware,Medium,Open,Agreement face act painting production method house act who brother thought all huge which although hundred need.
T00000144,C000597,P0089,A0007,2026-06-28 15:52:16,2026-07-02 22:52:16,Account Access,Critical,Closed,Adult name establish street grow bit develop news much.
T00000145,C001298,P0039,A0018,2026-02-14 05:10:18,2026-02-14 23:10:18,Performance,Medium,Closed,Themselves source form figure spring necessary peace say energy take yes.
T00000146,C000773,P0010,A0029,2026-02-13 08:33:06,2026-02-17 14:33:06,Refund,Critical,Closed,Indeed tend address understand language have actually a animal general hospital quickly big thousand.
T00000147,C001038,P0089,A0028,2026-05-11 19:46:24,2026-05-14 16:46:24,Refund,Low,Closed,Green data treat wear hold best end north stay without professor today family large appear seven trial treatment president.
T00000148,C001834,P0069,A0036,2026-02-04 14:43:04,2026-02-08 08:43:04,Hardware,Low,Resolved,Class there sound all piece daughter head reach answer even fast wear edge own visit hotel.
T00000149,C001575,P0032,A0042,2025-10-27 23:23:54,,Hardware,High,Open,Western next upon stand hear feeling although center sing bring travel particularly job local.
T00000150,C001326,P0079,A0005,2025-11-12 23:06:30,,Refund,Critical,In Progress,Should contain talk by account door use positive far soldier else film too field eye.
T00000151,C000882,P0014,A0002,2026-05-14 12:12:29,2026-05-18 18:12:29,Login,High,Resolved,Head development join color summer stand move fine major bank case four girl big.
T00000152,C001046,P0096,A0031,2026-04-11 21:43:55,,Refund,Medium,In Progress,Argue scientist hour probably water us attention response line type policy plan leg church significant movie nation east get.
T00000153,C000802,P0060,A0047,2025-11-15 02:55:07,2025-11-17 02:55:07,Hardware,Medium,Closed,Never commercial once figure race get require fine image within foreign happy base at.
T00000154,C000989,P0014,A0020,2025-11-20 22:45:32,2025-11-21 02:45:32,Application Crash,Low,Resolved,More PM guy out election law especially discover hand.
T00000155,C001703,P0094,A0012,2025-10-04 21:25:33,,Performance,High,Open,Sign father them rule table fast street such budget oil reduce woman least employee.
T00000156,C001607,P0027,A0031,2026-06-07 13:30:44,2026-06-10 00:30:44,Application Crash,High,Resolved,Data four major move develop by design bar skin read dream popular truth woman interview also listen movement compare.
T00000157,C000898,P0093,A0044,2026-07-03 06:34:18,2026-07-03 19:34:18,Application Crash,High,Closed,Attention some lose little act still itself firm artist consider knowledge figure force produce unit rock lot south.
T00000158,C000615,P0006,A0049,2026-01-28 05:58:58,,Hardware,Low,Open,Big north blue interesting long fall thank market same.
T00000159,C001740,P0044,A0038,2026-01-01 09:19:12,,Login,Medium,Open,Value or however usually would difference sport carry painting either heavy soldier energy town apply.
T00000160,C001057,P0023,A0032,2026-02-26 15:24:33,,Payment,High,In Progress,One ahead already answer other future direction admit town strategy raise future believe be organization professional fact explain.
T00000161,C000475,P0052,A0038,2026-03-23 02:41:50,2026-03-25 14:41:50,Payment,Medium,Closed,Hope save method might people voice style past leader have color treat he.
T00000162,C000060,P0095,A0036,2026-05-10 11:51:35,2026-05-12 14:51:35,Payment,Critical,Closed,Forget report give mind watch score successful anything century kid on room participant today suffer stuff star.
T00000163,C000010,P0091,A0017,2025-11-06 16:14:17,2025-11-08 18:14:17,Payment,High,Closed,Music police trade later bank add foreign oil federal whole understand specific so some deal many them.
T00000164,C001183,P0014,A0049,2026-02-01 14:30:31,,Account Access,Medium,Open,Word bit consider design ahead month game its movie simple official particular worry strong bag.
T00000165,C000404,P0059,A0008,2026-07-04 08:55:13,2026-07-06 02:55:13,Performance,Critical,Resolved,Office thought age some prevent term such of suffer street knowledge officer have challenge.
T00000166,C000796,P0079,A0026,2026-06-13 00:21:10,2026-06-16 05:21:10,Refund,Low,Resolved,Under one determine smile become stop finish mean seem senior let see shoulder protect crime.
T00000167,C001732,P0059,A0036,2026-03-31 23:03:16,2026-04-02 21:03:16,Payment,High,Resolved,After season business drop once action when mouth table world film position firm building rich.
T00000168,C001377,P0018,A0022,2025-07-29 21:02:13,,Login,Medium,Open,Arrive most step something talk response amount foreign these federal research deal attorney gas recent skin many here.
T00000169,C000375,P0048,A0044,2025-12-16 14:33:51,2025-12-17 05:33:51,Payment,Critical,Resolved,Trip bad real meeting outside nothing decade drop peace region.
T00000170,C000283,P0074,A0026,2026-03-13 19:44:56,2026-03-17 00:44:56,Application Crash,Medium,Closed,Name wish with success involve happen western late east practice team star dream maintain.
T00000171,C001101,P0089,A0038,2025-09-23 16:11:01,2025-09-27 02:11:01,Payment,Medium,Closed,Get theory big face hotel quickly amount care meet drive main lead talk name.
T00000172,C000288,P0024,A0022,2025-12-24 06:48:29,2025-12-25 19:48:29,Account Access,Critical,Closed,Important gas economic computer bank southern eight stage raise baby throw perhaps recent where follow.
T00000173,C001773,P0046,A0002,2026-06-24 17:50:34,,Application Crash,Medium,Open,Friend the play federal stock amount health buy country nice ability make.
T00000174,C001670,P0050,A0032,2025-10-04 13:40:58,,Refund,Critical,In Progress,Enough main decade care tax their enjoy else.
T00000175,C001008,P0054,A0044,2025-10-26 13:11:11,2025-10-30 05:11:11,Account Access,Critical,Closed,Break sense discover first deep again in something industry I receive team process parent whole turn.
T00000176,C000170,P0073,A0002,2026-02-19 16:48:37,2026-02-20 14:48:37,Account Access,Medium,Closed,Community Mr teach voice meeting she that senior go talk down.
T00000177,C000563,P0029,A0032,2026-06-01 08:38:08,2026-06-01 13:38:08,Performance,Medium,Resolved,Mrs throughout career make law thousand again whose south whether world small serious stuff.
T00000178,C001521,P0099,A0047,2026-05-28 05:10:04,2026-05-31 06:10:04,Application Crash,Low,Closed,Simply she along figure decade mean mission assume management nature kitchen section which.
T00000179,C000549,P0100,A0032,2025-10-07 20:27:23,,Account Access,High,Open,Democrat exist little add economy discussion across actually tree walk give mention.
T00000180,C001557,P0093,A0029,2026-03-17 19:36:18,,Refund,Medium,Open,Wide control campaign card enough cold always energy pretty color thank thus particularly right green.
T00000181,C001508,P0084,A0047,2026-01-08 19:38:43,2026-01-09 09:38:43,Payment,High,Closed,Account serious at argue real ready stuff evening north city.
T00000182,C000922,P0034,A0025,2025-12-04 15:14:57,,Account Access,Low,Open,Style poor arrive lot pattern better plant certain seek name letter onto.
T00000183,C000241,P0100,A0049,2026-04-25 01:20:52,2026-04-29 16:20:52,Payment,Medium,Closed,Listen season work tend off daughter concern back many fear century face enter three population degree information blue.
T00000184,C001456,P0079,A0038,2026-05-31 04:42:58,2026-06-04 19:42:58,Application Crash,Medium,Resolved,Appear court him it reach Democrat little chance human reason college various charge along organization single door throw increase.
T00000185,C001608,P0027,A0050,2025-09-04 02:27:51,,Payment,Low,In Progress,Number cultural when on act let painting air benefit.
T00000186,C000576,P0077,A0032,2025-10-15 23:43:39,2025-10-18 20:43:39,Payment,High,Resolved,Four something whole ago left past become sell alone later.
